harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,kamar_tidur_art,kamar_mandi_art
560000,  Balikpapan Timur,62.0,120.0,HGB,Non-furnished,2,1,1300.0,0,0
6500000,  Balikpapan Selatan,300.0,1407.0,HGB,Non-furnished,4,4,10000.0,0,0
4700000,  Balikpapan Utara,310.0,475.0,SHM,Non-furnished,4,3,7700.0,0,0
2700000,  Gunung Bahagia,200.0,300.0,SHM,Non-furnished,3,2,900.0,0,0
1010000,  Balikpapan Utara,72.0,120.0,HGB,Semi-furnished,4,2,2200.0,0,0
1100000,  Balikpapan Selatan,95.0,70.0,SHM,Semi-furnished,3,2,2200.0,0,0
2050000,  Balikpapan Utara,200.0,200.0,SHM,Non-furnished,4,3,2200.0,1,1
3600000,  Damai,250.0,240.0,SHM,Non-furnished,4,3,3500.0,1,1
3000000,  Balikpapan Selatan,200.0,200.0,SHM,Non-furnished,3,2,5500.0,0,0
2500000,  Balikpapan Selatan,90.0,180.0,SHM,Non-furnished,2,2,2200.0,0,0
4050000,  Balikpapan Tengah,200.0,300.0,SHM,Semi-furnished,3,3,3500.0,1,0
1850000,  Balikpapan Tengah,154.0,171.0,SHM,Non-furnished,4,2,1300.0,0,0
700000,  Balikpapan Selatan,100.0,105.0,SHM,Non-furnished,2,2,1300.0,0,0
2000000,  Balikpapan Tengah,124.0,151.0,SHM,Non-furnished,3,3,2200.0,0,0
4000000,  Balikpapan Tengah,250.0,330.0,SHM,Non-furnished,3,2,6600.0,1,1
1150000,  Balikpapan Selatan,145.0,120.0,SHM,Fully-furnished,4,2,3500.0,0,0
